1,Id_1,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])Cl
2,Id_2,Nc1ccc(cc1)O
3,Id_3,Nc1ccc2-c3c(Cc2c1)cccc3
4,Id_4,CCCSc1ccc2c(c1)[nH]c(n2)NC(=O)OC
5,Id_5,Clc1ccc2-n3c(CN=C(c2c1)c1ccccc1)nnc3C
6,Id_6,CC(c1ccc2c(c1)c(=O)c1c(o2)nc(c(c1)C(=O)O)N)C
7,Id_7,O=c1cc(oc2c1c1ccccc1cc2)c1ccccc1
8,Id_8,Brc1cc2c(-n3c(CN=C2c2ccccc2Cl)nnc3C)s1
9,Id_9,CCCCOC(=O)c1ccc(cc1)N
10,Id_10,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
11,Id_11,ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl
12,Id_12,Clc1cc(Cl)c2c(c1O)nccc2
13,Id_13,CC(OC(=O)Nc1cccc(c1)Cl)C
14,Id_14,O=C(N(C1CCCCC1)C)CCCOc1ccc2c(c1)ccc(=O)[nH]2
15,Id_15,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1
16,Id_16,COc1cc(cc(c1OC)OC)C(=O)OCCCN1CCCN(CC1)CCCOC(=O)c1cc(OC)c(c(c1)OC)OC
17,Id_17,[O-][n+]1ccccc1SSc1cccc[n+]1[O-]
18,Id_18,OC(=O)C1C2CCC(C1C(=O)O)O2
19,Id_19,CCc1cc2c(-n3c(CN=C2c2ccccc2Cl)nnc3C)s1
20,Id_20,COC(=O)Nc1nc2c([nH]1)cc(cc2)Sc1ccccc1
21,Id_21,O=CCCCC=O
22,Id_22,O=Cc1c(O)c(O)c(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)c(C=O)c(c(c2C(C)C)O)O)C(C)C
23,Id_23,OC(=O)C(c1ccc(cc1)N1Cc2c(C1=O)cccc2)C
24,Id_24,CC(Oc1ccc2c(c1)occ(c2=O)c1ccccc1)C
25,Id_25,O=C(c1cnoc1C)Nc1ccc(cc1)C(F)(F)F
26,Id_26,COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccccc1
27,Id_27,COc1ccc2c(c1)ccc(c2)CCC(=O)C
28,Id_28,COP(=O)(OC(C(Br)(Cl)Cl)Br)OC
29,Id_29,CN1C(=O)CN=C(c2c1ccc(c2)[N+](=O)[O-])c1ccccc1
30,Id_30,Oc1ccc(cc1)NC(=O)c1ccccc1O
31,Id_31,CCCOc1ccc2c(c1)[nH]c(n2)NC(=O)OC
32,Id_32,O=Cc1ccccc1C=O
